key|EBSS_Kr|EBSS_Jp
10030001|「Goddess Kiss」に新司令官が着任してから初めての夏がやってきた。|「Goddess Kiss」に新司令官が着任してから初めての夏がやってきた。
10030002|依然として帝国の攻勢は衰えず、各地でR.E.A.P.との衝突が発生する中――\n新司令官は「Goddess Kiss」の全隊員を海辺へと招集する。|依然として帝国の攻勢は衰えず、各地でR.E.A.P.との衝突が発生する中――\n新司令官は「Goddess Kiss」の全隊員を海辺へと招集する。
10030003|すべては部隊を強化し、帝国の脅威をはねのけるために。|すべては部隊を強化し、帝国の脅威をはねのけるために。
10030004|わーい！　海だーーーーー！！|わーい！　海だーーーーー！！
10030005|ほら、そんなにはしゃぐと転ぶよ？|ほら、そんなにはしゃぐと転ぶよ？
10030006|ターニャも早くこっちに……きゃあ！|ターニャも早くこっちに……きゃあ！
10030007|うう～～、転んじゃったぁ。|うう～～、転んじゃったぁ。
10030008|あー、言わんこっちゃない。マジ怪我しても知らないからね～。|あー、言わんこっちゃない。マジ怪我しても知らないからね～。
10030009|まったく、レナったらあんなに走り回って。ここへ何しにきたか忘れたのかしら。|まったく、レナったらあんなに走り回って。ここへ何しにきたか忘れたのかしら。
10030010|さすがに忘れてないっしょ～。愛しい「ダーリン」からの召集なわけだし。|さすがに忘れてないっしょ～。愛しい「ダーリン」からの召集なわけだし。
10030011|遊びにきたわけじゃないんだから、レナも隊員の一人としてそろそろ自覚を……。|遊びにきたわけじゃないんだから、レナも隊員の一人としてそろそろ自覚を……。
10030012|おーい、そろそろ始めるぞ。|おーい、そろそろ始めるぞ。
10030013|っと、呼び出しかかっちゃったね。レナもいくよー！|っと、呼び出しかかっちゃったね。レナもいくよー！
10030014|はーい！|はーい！
10030015|よし、全員集まったな。今日は2チームに分かれて演習を行うぞ。|よし、全員集まったな。今日は2チームに分かれて演習を行うぞ。
10030016|(砂浜では足をとられ動きが制限される……動きやすい水着を指定されたのも納得だわ)|(砂浜では足をとられ動きが制限される……動きやすい水着を指定されたのも納得だわ)
10030017|ユニットを移送してもらってるから、まずは自分のユニットに搭乗するように！|ユニットを移送してもらってるから、まずは自分のユニットに搭乗するように！
10030018|ふぇ？|ふぇ？
10030019|なっ……！|なっ……！
10030020|えぇーーー！海まで来てユニットに搭乗ってガチ！？|えぇーーー！海まで来てユニットに搭乗ってガチ！？
10030021|いや、それも問題だけどもっと重要なことがあるわ。\nそれは……。|いや、それも問題だけどもっと重要なことがあるわ。\nそれは……。
10030022|ユニットに搭乗するのに、水着ということよ！|ユニットに搭乗するのに、水着ということよ！
10030023|確かにユニットに乗るならこの格好じゃなくてもいいよね？|確かにユニットに乗るならこの格好じゃなくてもいいよね？
10030024|あっ、ダーリンってばそんなにあたしの水着姿が見たかったの？\nいや～～ん♪|あっ、ダーリンってばそんなにあたしの水着姿が見たかったの？\nいや～～ん♪
10030025|レナ以外も全員水着だけどね。|レナ以外も全員水着だけどね。
10030026|ただ単に、水着が見たかっただけでは？|ただ単に、水着が見たかっただけでは？
10030027|ち、違うに決まってるだろ。\n俺はだなぁ、皆が暑いんじゃないかと思って！|ち、違うに決まってるだろ。\n俺はだなぁ、皆が暑いんじゃないかと思って！
10030028|それならわざわざ水着でなくともよいのでは？|それならわざわざ水着でなくともよいのでは？
10030029|ティナは容赦ないな……。\nとにかく、俺は断じてやましい気持ちではなく……！|ティナは容赦ないな……。\nとにかく、俺は断じてやましい気持ちではなく……！
10030030|って、あたしの胸元見ながら言っても説得力ゼロじゃない？|って、あたしの胸元見ながら言っても説得力ゼロじゃない？
10030031|ダーリンひどい！見るなら私の胸にしてよ！|ダーリンひどい！見るなら私の胸にしてよ！
10030032|司・令・官～～～～～！|司・令・官～～～～～！
10030033|わわっ、待て待て！\nそ、そうだ！ 勝ったチームにはご褒美も用意してあるんだった！|わわっ、待て待て！\nそ、そうだ！ 勝ったチームにはご褒美も用意してあるんだった！
10030034|ご褒美！？|ご褒美！？
10030035|なになに？　すっごくいいやつ！？|なになに？　すっごくいいやつ！？
10030036|上手いこと誤魔化しましたね……。|上手いこと誤魔化しましたね……。
10030037|ねねっ、ご褒美って何でもいいのかなぁ？|ねねっ、ご褒美って何でもいいのかなぁ？
10030038|なんでもっていうと？　レナってば何頼むつもり？|なんでもっていうと？　レナってば何頼むつもり？
10030039|もちろん、ダーリンのお嫁さんだよぉ♪|もちろん、ダーリンのお嫁さんだよぉ♪
10030040|俺が聞ける範囲ならなんでもいいが、それはさすがに……ハハハ。|俺が聞ける範囲ならなんでもいいが、それはさすがに……ハハハ。
10030041|はぁ、こんな調子で大丈夫でしょうか。|はぁ、こんな調子で大丈夫でしょうか。
10030042|チーム分け終了後……。|チーム分け終了後……。
10030043|なかなかバランスよく分けられたわね。|なかなかバランスよく分けられたわね。
10030044|こちらのチームはレナ、セシル、ツバサ、ローズ、レア、ユリア……。\nうん、攻防のバランスがとれたメンバーになったわ。|こちらのチームはレナ、セシル、ツバサ、ローズ、レア、ユリア……。\nうん、攻防のバランスがとれたメンバーになったわ。
10030045|向こうはターニャ、メイ、ハンナ、エリン、エミリー、アリエル……。\n中々手強そうだね。|向こうはターニャ、メイ、ハンナ、エリン、エミリー、アリエル……。\n中々手強そうだね。
10030046|しかし海まできてユニットへ搭乗することになるとは……。\n訓練も良いですが、泳ぎたい気持ちもありますね。|しかし海まできてユニットへ搭乗することになるとは……。\n訓練も良いですが、泳ぎたい気持ちもありますね。
10030047|さっさと終わらせれば泳ぐ時間もできるんじゃない？|さっさと終わらせれば泳ぐ時間もできるんじゃない？
