key|S_Kr|S_Jp
1|공격력|攻撃力
2|방어력|防御力
3|행운|回避
4|체력|HP
5|명중|命中
6|치명타율|必殺率
7|기동력|機動力
8|치명타 피해|必殺ダメージ
11|ATK|ATK
12|DEF|DEF
13|CRIT|CRIT
14|HP|HP
15|ACC|ACC
16|CRIT R|CRIT R
17|MOB|MOB
18|CRIT DMG|CRIT DMG
21|군단장|部隊長
22|보병|歩兵
23|포병|砲兵
24|기관포|機関砲
25|전차|戦車
26|캐논포|キヤノン砲
27|추진기|スラスター
28|기동 전투함|戦艦
29|잠수함|潜水艦
30|고속 전투함|重巡洋艦
31|순향함|巡洋艦
32|공군 폭격지원|空爆支援
33|헬기|ヘリコプター
51|예비군|予備軍
52|특전사|特殊部隊
53|경보병|軽歩兵
54|배틀 버기|バトルバギー
55|레드 비틀|レッドビートル
56|G-6|G-6
57|캐사르|シーザー
58|레드포스|レッドフォース
59|크루세이더|クルセーダー
60|자주 레일건|レールガン
61|박서|ボクサー
62|쉐도우 스토커|シャドウストーカー
63|스트라이커|ストライカー
64|라텔|ラーテル
65|블루드 건|ブラッドガン
66|매드캣|マッドキャット
67|패튼|パットン
68|마이티 독|マイティドッグ
69|레드 데빌|レッドデビル
70|그라울러|グロウラー
71|로켓 테크니컬|ロケットマシーン
72|캐논 테크니컬|キヤノンマシーン
73|아르고스|アルゴス
74|아모스|アモス
75|스틸레인|スチールレイン
76|MD-500|MD-500
77|시 쉐도우|シーシャドウ
78|링크스|リンクス
79|시 크로울러|シークローラー
80|바라쿠다|バラクーダ
81|코커렐|コッカレル
82|코만치|コマンチェ
83|SNR-B5|SNR-B5
84|호컴|ホーカム
85|SNR-C5|SNR-C5
86|돈틀리스|ドーントレス
87|에든버러|エジンバラ
88|프렌드 실드|フレンドシールド
89|옐로솔져|イエローソルジャー
90|로켓 티어|ロケッティア
91|제니스|ゼニス
92|옐로웨일|イエローホエール
93|아스튜드|アスチュート
94|롱헤드|ロングヘッド
95|그레이트 화이트|グレートホワイト
96|시 레이스|シーレース
97|하드 펀쳐|ハードパンチャー
98|볼케이노|ボルケーノ
99|블루 솔져 전투함|蒼の戦艦
100|줌 왈트|ズムウォルト
101|기어링|ギアリング
102|광개토대왕|始皇帝
103|소브레멘니|ソヴレメンヌイ
104|BFC-2000|BFC-2000
105|캐논 마스터|キャノンマスター
106|배틀슈트|バトルスーツ
107|FCV암슈트|FCVアームスーツ
108|캐틀링 매니아|ガトリングマニア
109|프로토타입 AAA|プロトタイプAAA
110|아틀라스|ブリューナク
111|워 워크|ウォーウォーク
112|타란튤라|タランチュラ
113|HX 초호기|HXプロトタイプ
114|HX 마크6|HX Mk-Ⅵ
115|데몬 페이스|デーモンフェイス
116|와스프|ワスプ
117|엠버 월|アンバーウォール
118|섹시 걸|セクシーガール
119|엘리자베스|エリザベス
120|포레스탈|フォレスタル
121|모비 딕|モビーディック
122|리바이어던|リヴァイアサン
123|트윈 플레이트|ツインプレート
124|스피어피쉬|スピアフィッシュ
125|홀리 템플|ホーリーテンプル
126|오드 아이|サードアイ
127|미스 드릴러|メガドリラー
128|파이로|アグニ
129|로켓 라쿤|キャノンラクーン
130|골리앗|ゴリアテ
131|스파이더-큐|スパイダーQ
132|레드 라이온|レッドライオン
133|베가본드|バガボンド
134|호크아이|ホークアイ
135|저거너트|ジャガーノート
136|아이스 베어|アイスベア
137|사이코 머신|サイキックアーマー
138|메탈 나이트|メタルナイト
139|블랙 스나이퍼|ブラックスナイパー
140|오버홀|オーバーホール
141|매머드|マンモス
142|테크노 기믹|テクノギミック
143|골든 벨|ゴールデンベル
144|샤크 노즈|シャークノーズ
145|시커|シーカー
146|포트리스|フォートレス
147|감시자|オブザーバー
148|블랙 섀도우|ブラックシャドウ
149|가차가챠|ビンゴマニア
150|Skill-020|Skill-020
151|Skill-021|Skill-021
152|Skill-022|Skill-022
153|저스티스|ジャスティス
154|지지알|GGR
155|타나토스|セクメト
156|와일드 로즈|ワイルドローズ
157|블러드 타입|ブラッドタイプ
158|벤쉬|バンシー
159|저스티스 GK-2|ジャスティスGK-2
160|하일브링어|ヘイルブリンガー
161|블레이즈|ブレイズ
162|블루버드|ブルーバード
163|기간테스|ギガンテス
164|러스티 돌|ラスティドール
165|시노비|シノビ
166|라파엘 V2|ラファエルV2
167|버서커|バーサーカー
168|투르드|ツールド
169|디스트로이어|デストロイヤー
170|레비아탄|レヴィアタン
171|레기온|レギオン
172|카나리아|カナリア
173|브리샤|ブリシャ
174|춘향|春香
175|란드그리드|ランドグリーズ
176|레긴레이프|レギンレイヴ
177|미스트|ミスト
178|곤돌|ゲンドゥル
179|킬러 래빗|キラーラビット
180|마르두크|マルドゥク
181|크로노스|クロノス
182|엘|ノエル
183|바이스 라이터|バイスライター
184|아스클레피오스|アスクレピオス
185|로튼 라이터|ロットンライター
189|크림슨 타우러스|クリムゾンタウロス
201|수류탄 투척|グレネード
202|폭연탄 발사|ファイアボム
203|기관포 난사|マシンガン乱射
204|2연발 포격|2連ショット
205|기관포 난사|マシンガン乱射
206|3연발 포격|3連ショット
207|무력화 포탄|弱体爆弾
208|화염 폭풍|ファイアストーム
209|4연발 포격|4連ショット
210|EMP 포격|電磁パルス
211|십자 포화|クロスファイア
212|2연발 미사일|2連ミサイル
213|파워샷|パワーショット
214|기동력 저하탄|のろのろ爆弾
215|2회 전체 사격|2連全体射撃
216|파워 관통탄|強力貫通弾
217|무력화 포탄|弱体爆弾
218|전열 포격|前列砲撃
