key|S_Kr|S_En|S_Beon|S_Esp|S_Deu|S_Idn|S_Tha|S_Fr|S_Gan|S_Rus
1010001|하~~~암.\n것 참. 날씨가 저렇게 좋은데 난 휴일에 여기서 뭐 하는 거지?|*sigh~*\nIt's a weekend with beautiful weather. What am I doing here?|*sigh~*\nIt's a weekend with beautiful weather. What am I doing here?|*sigh~*\nIt's a weekend with beautiful weather. What am I doing here?|*sigh~*\nIt's a weekend with beautiful weather. What am I doing here?|*sigh~*\nIt's a weekend with beautiful weather. What am I doing here?|*sigh~*\nIt's a weekend with beautiful weather. What am I doing here?|*sigh~*\nIt's a weekend with beautiful weather. What am I doing here?|*sigh~*\nIt's a weekend with beautiful weather. What am I doing here?|*вздыхает*\nВыходные... такая хорошая погода... Почему я всё ещё здесь?
1010002|그런 소리를 할 시간에 어서 일을 마치시는 것이 좋지 않을까요?|You should try to get your work done instead of day dreaming.|You should try to get your work done instead of day dreaming.|You should try to get your work done instead of day dreaming.|You should try to get your work done instead of day dreaming.|You should try to get your work done instead of day dreaming.|You should try to get your work done instead of day dreaming.|You should try to get your work done instead of day dreaming.|You should try to get your work done instead of day dreaming.|Вы должны стараться выполнять свою работу вместо мечтаний.
1010003|하지만 이거 정말 진도가 나가질 않는다고.|But I can't seem to get anything done. My mind is just blank.|But I can't seem to get anything done. My mind is just blank.|But I can't seem to get anything done. My mind is just blank.|But I can't seem to get anything done. My mind is just blank.|But I can't seem to get anything done. My mind is just blank.|But I can't seem to get anything done. My mind is just blank.|But I can't seem to get anything done. My mind is just blank.|But I can't seem to get anything done. My mind is just blank.|Но я не могу ничего сделать. У меня в голове сейчас пусто.
1010004|그렇게 투덜거리신 지 벌써 세 시간째라고요?|I can see that. You've been talking like that for a few hours now.|I can see that. You've been talking like that for a few hours now.|I can see that. You've been talking like that for a few hours now.|I can see that. You've been talking like that for a few hours now.|I can see that. You've been talking like that for a few hours now.|I can see that. You've been talking like that for a few hours now.|I can see that. You've been talking like that for a few hours now.|I can see that. You've been talking like that for a few hours now.|Я это вижу. Вы уже несколько часов это говорите.
1010005|안 써지는 걸 어떡해!|But it's not my fault that I can't seem to focus now.|But it's not my fault that I can't seem to focus now.|But it's not my fault that I can't seem to focus now.|But it's not my fault that I can't seem to focus now.|But it's not my fault that I can't seem to focus now.|But it's not my fault that I can't seem to focus now.|But it's not my fault that I can't seem to focus now.|But it's not my fault that I can't seem to focus now.|Но я не виноват, что сейчас не могу сосредоточиться.
1010006|이 정도 작전계획은 파팟! 하고 써 주세요.\n사령관님 때문에 저까지 못 쉬고 있잖아요.|Come on! A small mission plan like this  should be a snap!\nI'm stuck here too, because of you.|Come on! A small mission plan like this  should be a snap!\nI'm stuck here too, because of you.|Come on! A small mission plan like this  should be a snap!\nI'm stuck here too, because of you.|Come on! A small mission plan like this  should be a snap!\nI'm stuck here too, because of you.|Come on! A small mission plan like this  should be a snap!\nI'm stuck here too, because of you.|Come on! A small mission plan like this  should be a snap!\nI'm stuck here too, because of you.|Come on! A small mission plan like this  should be a snap!\nI'm stuck here too, because of you.|Come on! A small mission plan like this  should be a snap!\nI'm stuck here too, because of you.|Написать отчёт миссии — детский сад!\nЯ тоже здесь застряла из-за вас.
1010007|파팟이라니... 내가 무슨 기계냐?\n게다가 작전 끝나자마자 이게 무슨 짓이야!!|What do you mean in a snap? What am I a robot?\nWe just got finished with a mission. Why are we doing this?|What do you mean in a snap? What am I a robot?\nWe just got finished with a mission. Why are we doing this?|What do you mean in a snap? What am I a robot?\nWe just got finished with a mission. Why are we doing this?|What do you mean in a snap? What am I a robot?\nWe just got finished with a mission. Why are we doing this?|What do you mean in a snap? What am I a robot?\nWe just got finished with a mission. Why are we doing this?|What do you mean in a snap? What am I a robot?\nWe just got finished with a mission. Why are we doing this?|What do you mean in a snap? What am I a robot?\nWe just got finished with a mission. Why are we doing this?|What do you mean in a snap? What am I a robot?\nWe just got finished with a mission. Why are we doing this?|Детский сад? Я что, робот?\nМы только закончили миссию. Зачем мы это делаем?
1010008|오라버니는 그런 것 정도는 한두 시간이면 다 쓰셨다고요?|My brother used to write that in less than couple of hours.|My brother used to write that in less than couple of hours.|My brother used to write that in less than couple of hours.|My brother used to write that in less than couple of hours.|My brother used to write that in less than couple of hours.|My brother used to write that in less than couple of hours.|My brother used to write that in less than couple of hours.|My brother used to write that in less than couple of hours.|Мой брат писал подобные планы за пару часов.
1010009|한이 녀석 같은 ‘괴물’이랑 비교하지 마.\n난 어디까지나 ‘평범’한 사람이라고?|Don't compare me with Han.\nHe was like a machine, while I'm a human.|Don't compare me with Han.\nHe was like a machine, while I'm a human.|Don't compare me with Han.\nHe was like a machine, while I'm a human.|Don't compare me with Han.\nHe was like a machine, while I'm a human.|Don't compare me with Han.\nHe was like a machine, while I'm a human.|Don't compare me with Han.\nHe was like a machine, while I'm a human.|Don't compare me with Han.\nHe was like a machine, while I'm a human.|Don't compare me with Han.\nHe was like a machine, while I'm a human.|Не сравнивай меня с Ханом.\nОн — ходячая машина, а я человек.
1010010|누가 괴물이라는 거예요!\n오라버니만큼 인간미 넘치는 분이 세상에 어디 있다고..|What are you talking about?\nHe worked hard and was also very compassionate.|What are you talking about?\nHe worked hard and was also very compassionate.|What are you talking about?\nHe worked hard and was also very compassionate.|What are you talking about?\nHe worked hard and was also very compassionate.|What are you talking about?\nHe worked hard and was also very compassionate.|What are you talking about?\nHe worked hard and was also very compassionate.|What are you talking about?\nHe worked hard and was also very compassionate.|What are you talking about?\nHe worked hard and was also very compassionate.|Не смейте так говорить.\nОн упорно трудился и был очень сострадательным.
1010011|니에~니에~ 브라더 콤플렉스는 거기까지 하시죠.|Alright. That's your opinion but enough about your brother.|Alright. That's your opinion but enough about your brother.|Alright. That's your opinion but enough about your brother.|Alright. That's your opinion but enough about your brother.|Alright. That's your opinion but enough about your brother.|Alright. That's your opinion but enough about your brother.|Alright. That's your opinion but enough about your brother.|Alright. That's your opinion but enough about your brother.|Хорошо. Это твоё мнение, но хватит уже о твоём брате.
1010012|브.. 브라더 콤플렉스라뇨!\n전 어디까지나 한 사람의 인격체로서 오라버니를…|You... You started it.\nI'm just letting you know what kind of person he was and…|You... You started it.\nI'm just letting you know what kind of person he was and…|You... You started it.\nI'm just letting you know what kind of person he was and…|You... You started it.\nI'm just letting you know what kind of person he was and…|You... You started it.\nI'm just letting you know what kind of person he was and…|You... You started it.\nI'm just letting you know what kind of person he was and…|You... You started it.\nI'm just letting you know what kind of person he was and…|You... You started it.\nI'm just letting you know what kind of person he was and…|Но это вы начали...\nЯ просто говорю вам, каким он был человеком и...
1010013|알았어. 알았어.\n그런데 말이야. 난 쉬지 말라고 한 적 없어.\n다 되면 부른다고 했잖아?|Alright! Alright!\nBut I never told him not to take a break.\n I just told him to call me when he got finished.|Alright! Alright!\nBut I never told him not to take a break.\n I just told him to call me when he got finished.|Alright! Alright!\nBut I never told him not to take a break.\n I just told him to call me when he got finished.|Alright! Alright!\nBut I never told him not to take a break.\n I just told him to call me when he got finished.|Alright! Alright!\nBut I never told him not to take a break.\n I just told him to call me when he got finished.|Alright! Alright!\nBut I never told him not to take a break.\n I just told him to call me when he got finished.|Alright! Alright!\nBut I never told him not to take a break.\n I just told him to call me when he got finished.|Alright! Alright!\nBut I never told him not to take a break.\n I just told him to call me when he got finished.|Ладно, ладно!\nМожете отдохнуть. Вы сказали, что позовёте, когда закончите.
1010014|그래서 저번 보고서는 제대로 완성 하셨나요?|Well? Did you finish the last report?|Well? Did you finish the last report?|Well? Did you finish the last report?|Well? Did you finish the last report?|Well? Did you finish the last report?|Well? Did you finish the last report?|Well? Did you finish the last report?|Well? Did you finish the last report?|Ну? Отчёт уже готов?
1010015|윽!|Arrrgggg!|Arrrgggg!|Arrrgggg!|Arrrgggg!|Arrrgggg!|Arrrgggg!|Arrrgggg!|Arrrgggg!|Ух-г!
1010016|결국 도중에 도망치셨잖아요.\n그 뒤치다꺼리를 누가 했다고 생각하시죠?|You just ignored the task.\nGuess who finished that up for you?|You just ignored the task.\nGuess who finished that up for you?|You just ignored the task.\nGuess who finished that up for you?|You just ignored the task.\nGuess who finished that up for you?|You just ignored the task.\nGuess who finished that up for you?|You just ignored the task.\nGuess who finished that up for you?|You just ignored the task.\nGuess who finished that up for you?|You just ignored the task.\nGuess who finished that up for you?|Вы просто сбежали!\nНу и кто вы после этого?
1010017|아니 그때는 그러니까....|Well... that time I was...|Well... that time I was...|Well... that time I was...|Well... that time I was...|Well... that time I was...|Well... that time I was...|Well... that time I was...|Well... that time I was...|Нет, я...
1010018|그때도 휴일이 어떻고 날씨가 어쩌고 하셨죠.|Yeah! I remember. You said the same thing about nice weather and weekend, just like now.|Yeah! I remember. You said the same thing about nice weather and weekend, just like now.|Yeah! I remember. You said the same thing about nice weather and weekend, just like now.|Yeah! I remember. You said the same thing about nice weather and weekend, just like now.|Yeah! I remember. You said the same thing about nice weather and weekend, just like now.|Yeah! I remember. You said the same thing about nice weather and weekend, just like now.|Yeah! I remember. You said the same thing about nice weather and weekend, just like now.|Yeah! I remember. You said the same thing about nice weather and weekend, just like now.|Да, да, я помню. Выходные, хорошая погода. Правильно?
1010019|그.. 그랬나?|Oh, Really?|Oh, Really?|Oh, Really?|Oh, Really?|Oh, Really?|Oh, Really?|Oh, Really?|Oh, Really?|М-м-м, да, наверное?
1010020|뭐, 이번엔 제대로 안 하면\n총장님께서 영창에 보내버린다고 하셨으니, 그런 줄 아세요.|Well, just keep in mind.\nChief said he's going to put you in jail this time if don't get this done.|Well, just keep in mind.\nChief said he's going to put you in jail this time if don't get this done.|Well, just keep in mind.\nChief said he's going to put you in jail this time if don't get this done.|Well, just keep in mind.\nChief said he's going to put you in jail this time if don't get this done.|Well, just keep in mind.\nChief said he's going to put you in jail this time if don't get this done.|Well, just keep in mind.\nChief said he's going to put you in jail this time if don't get this done.|Well, just keep in mind.\nChief said he's going to put you in jail this time if don't get this done.|Well, just keep in mind.\nChief said he's going to put you in jail this time if don't get this done.|Главнокомандующий сказал, что посадит вас в тюрьму, если вы не закончите!
1010021|뭐? 여.. 영창?\n젠장! 그 영감탱이... 권력남용이라고!!|What? What?  Jail?\nFor this? That senile fool! He can't do that!|What? What?  Jail?\nFor this? That senile fool! He can't do that!|What? What?  Jail?\nFor this? That senile fool! He can't do that!|What? What?  Jail?\nFor this? That senile fool! He can't do that!|What? What?  Jail?\nFor this? That senile fool! He can't do that!|What? What?  Jail?\nFor this? That senile fool! He can't do that!|What? What?  Jail?\nFor this? That senile fool! He can't do that!|What? What?  Jail?\nFor this? That senile fool! He can't do that!|Что? В... в тюрьму?\nНо этот старик же не может так поступить!
1010022|직속상관에게 무슨 그런 폭언을…\n아무리 여신의 키스가 특수하다고는 하지만 명백한 군이라고요?|How could you call your commanding officer 'senile'?\nI know Goddess Kiss is special branch but we're still a part of the Army?|How could you call your commanding officer 'senile'?\nI know Goddess Kiss is special branch but we're still a part of the Army?|How could you call your commanding officer 'senile'?\nI know Goddess Kiss is special branch but we're still a part of the Army?|How could you call your commanding officer 'senile'?\nI know Goddess Kiss is special branch but we're still a part of the Army?|How could you call your commanding officer 'senile'?\nI know Goddess Kiss is special branch but we're still a part of the Army?|How could you call your commanding officer 'senile'?\nI know Goddess Kiss is special branch but we're still a part of the Army?|How could you call your commanding officer 'senile'?\nI know Goddess Kiss is special branch but we're still a part of the Army?|How could you call your commanding officer 'senile'?\nI know Goddess Kiss is special branch but we're still a part of the Army?|Как вы можете называть старшего командующего «стариком»? Я знаю, что «Поцелуй Богини» — это особое подразделение, но мы же в армии!
1010023|흥이다!\n휴일도 제대로 보장해 주지 않는 악덕 사장 따위…|Humph!\nHe's just an evil boss who doesn't even give a lawful day off!|Humph!\nHe's just an evil boss who doesn't even give a lawful day off!|Humph!\nHe's just an evil boss who doesn't even give a lawful day off!|Humph!\nHe's just an evil boss who doesn't even give a lawful day off!|Humph!\nHe's just an evil boss who doesn't even give a lawful day off!|Humph!\nHe's just an evil boss who doesn't even give a lawful day off!|Humph!\nHe's just an evil boss who doesn't even give a lawful day off!|Humph!\nHe's just an evil boss who doesn't even give a lawful day off!|Гм! Он просто злой босс, который даже не даёт законный выходной день!
1010024|기가 막혀...\n어째서 오라버니는 이런 사람에게 여신의 키스의 미래를...|I can't believe it.\nWhy would my brother leave the fate of Goddess Kiss on the hands of a lunatic like you?|I can't believe it.\nWhy would my brother leave the fate of Goddess Kiss on the hands of a lunatic like you?|I can't believe it.\nWhy would my brother leave the fate of Goddess Kiss on the hands of a lunatic like you?|I can't believe it.\nWhy would my brother leave the fate of Goddess Kiss on the hands of a lunatic like you?|I can't believe it.\nWhy would my brother leave the fate of Goddess Kiss on the hands of a lunatic like you?|I can't believe it.\nWhy would my brother leave the fate of Goddess Kiss on the hands of a lunatic like you?|I can't believe it.\nWhy would my brother leave the fate of Goddess Kiss on the hands of a lunatic like you?|I can't believe it.\nWhy would my brother leave the fate of Goddess Kiss on the hands of a lunatic like you?|Я не могу в это поверить.\nПочему мой брат оставил судьбу «Поцелуя Богини» в руках такого сумасшедшего, как вы?
1010025|아, 그건 나도 궁금해.\n왜 그 녀석은 나 같은 보통사람을 추천한 거지?|Well... I've wondered about that, too.\nWhy did he recommend an ordinary Joe like me for this job?|Well... I've wondered about that, too.\nWhy did he recommend an ordinary Joe like me for this job?|Well... I've wondered about that, too.\nWhy did he recommend an ordinary Joe like me for this job?|Well... I've wondered about that, too.\nWhy did he recommend an ordinary Joe like me for this job?|Well... I've wondered about that, too.\nWhy did he recommend an ordinary Joe like me for this job?|Well... I've wondered about that, too.\nWhy did he recommend an ordinary Joe like me for this job?|Well... I've wondered about that, too.\nWhy did he recommend an ordinary Joe like me for this job?|Well... I've wondered about that, too.\nWhy did he recommend an ordinary Joe like me for this job?|Ну... Я тоже об этом думал.\nПочему он рекомендовал обычного человека, как я, для этой работы?
